hsk3.0	traditional	simplified	pinyin	translation
2	打工	打工	dǎgōng	work part-time while studying in college, work as an employee, etc.
2	打算	打算	dǎsuàn	mean, specify, plan, think, intention, propose, design, purpose, contemplate, allot, destine, calculate, intend, designate, be after
2	打印	打印	dǎ yìn	to print, to seal, to stamp
2	大部分	大部分	dàbùfèn	det.: most of, the majority of
2	大大	大大	dà dà	greatly, enormously, (dialect) dad, uncle
2	大多數	大多数	dàduōshù	det.: most of, the majority of
2	大海	大海	dàhǎi	seaway, sea, the open sea
2	大家	大家	dàjiā	sundry, great master, rich and influential family, pontiff, all of us, everyone, authority, master, distinguished family
2	大量	大量	dàliàng	det.: any numer of, a great many
2	大門	大门	dàmén	barndoor, portal, main entrance, front_door, gate, door, entry, main door/gate, front door, main entrance/door/gate, entrance
2	大人	大人	dàrén	grownup, adult, milord, respectful salutation for one's seniors/, grown-up, respectful salutation for one's parents, Your Excellency, panjandrum, Highness, respectful salutation for one's parents/seniors/etc., Tuan, Bahadur, bahadur, sahib
2	大聲	大声	dàshēng	loud, loud voice
2	大小	大小	dàxiǎo	calibre, measurement, admeasurement, bulk, proportion, magnitude, extent, degree of seniority, dimension, girth, size, adults and children
2	大衣	大衣	dà yī	overcoat, topcoat, cloak, CL:件[jian4]
2	大自然	大自然	dàzìrán	wild, earth, nature, natural state, state of nature
2	帶	带	dài	look after, raise
2	帶來	带来	dàilái	bring, redound, impart, bring_on, bring on, express, fetch, lend, convey, contribute, bring about, bestow, carry, bring oneself, add, usher, incur, land
2	單位	单位	dānwèi	department, unit, denomination, module, building block, unit of measurement, monad, unit (in measurement or organization)
2	但	但	dàn	conj.: but, yet, still, nevertheless, only, merely
2	但是	但是	dànshì	conj.: but, however, yet, still
2	蛋	蛋	dàn	clump, egg, lump, bunch, an egg-shaped thing
2	當	当	dāng	when, while
2	當時	当时	dàng shí	then, at that time, while, at once, right away
2	倒	倒	dào	actually
2	到處	到处	dàochù	universally, everywhere, everyplace, far and near, about, around, far and wide, all_over, high_and_low, all over, throughout, high and low, far_and_near, passim, abroad, at all places
2	道	道	dào	say, speak, talk, think, suppose
2	道理	道理	dàolǐ	thread, principle, the right way, theory, reason, argument, sense, order, truth, rationality
2	道路	道路	dàolù	track, path, runway, steps, route, course, toby, road, thoroughfare, way
2	得	得	děi	should be, need
2	得出	得出	dé chū	to obtain (results), to arrive at (a conclusion)
2	的話	的话	dehuà	conj.: if
2	燈	灯	dēng	blowlamp, lantern, light source, light, lamp, tube, valve, burner
2	等	等	děng	conj.: and so on, etc
2	等到	等到	děngdào	until
2	等於	等于	děngyū	be equal to, tantamount to, equal, be equal, amount, reach, be, be equivalent to
2	低	低	dī	let droop, hang down, lower
2	地球	地球	dìqiú	the earth/globe, globe, world, Earth, ball, terrene, earth, the globe, the earth
2	地鐵	地铁	dì tiě	subway, metro
2	地鐵站	地铁站	dì tiě zhàn	subway station
2	點頭	点头	diǎntóu	take a bow, nod one's head, noddle, nod
2	店	店	diàn	shop, store, inn
2	掉	掉	diào	drop, reduce, exchange, lose, fall behind, be missing, fall, knock, come off, change, shed, turn
2	東北	东北	dōngběi	Northeast China, Manchuria
2	東方	东方	dōngfāng	oriental, dawning, northeast, eastward, E, Orient, orient, orientation, the Orient, Surname, sunrise, eastern, eastern hemisphere, Dongfang, due east, East, the East, east, the east
2	東南	东南	dōngnán	sou'-east, Southeast China, southeast, SE
2	冬天	冬天	dōng tiān	winter, CL:個|个[ge4]
2	懂	懂	dǒng	have, comprehend, understanding, understand, compass, grasp, get the picture, glom, know, apprehend, twig, savvy, follow, make out, dig
2	懂得	懂得	dǒngde	experience, know, live, understanding, understand, twig, gaum, grasp
2	動物	动物	dòngwù	thing, critter, crittur, zoic, anthropomorphism, animal, deer, animate being, beast, creature, burrow, sire, worker, fauna, brute
2	動物園	动物园	dòngwùyuán	zoological_garden, zoo, zoological garden, menagerie
2	讀音	读音	dú yīn	pronunciation, literary (rather than colloquial) pronunciation of a Chinese character
2	度	度	dù	m.[activity]
2	短	短	duǎn	short, brief
2	短信	短信	duǎn xìn	text message, SMS
2	段	段	duàn	m.[general]
2	隊	队	duì	m.[general]
2	隊長	队长	duìzhǎng	captain, chieftain, skipper, police chief, header, headman, commandant, police captain, sirdar, team leader
2	對	对	duì	correct, true, toward
2	對話	对话	duìhuà	dialogue
2	對面	对面	duìmiàn	opposite
2	多	多	duō	many, much, more, more than the correct/required number, excessive, too much, much/far more
2	多久	多久	duō jiǔ	how long?
2	多麼	多么	duóme	to what extent, to what degree, however, what, how
2	多數	多数	duōshù	trillions, millions, mort, relative majority, throng, det : majority, prevalence, multitude, lac, Host, host, bulk, horde, raft, million, lakh, rimption, pack, skit, strength, acre, generality, ruck, chunk, number, shoal, multiplicity, billions, preponderance, jillions, zillions, grist, world, majority, meiny, regiment, legion, mass, plurality
2	多雲	多云	duō yún	cloudy (meteorology)
2	而且	而且	érqiě	conj.: furthermore, and
2	發	发	fā	distribute
2	發現	发现	fāxiàn	find, discover
2	飯館	饭馆	fàn guǎn	restaurant, CL:家[jia1]
2	方便	方便	fāngbiàn	convenient
2	方便麵	方便面	fāng biàn miàn	instant noodles
2	方法	方法	fāngfǎ	know-how, plan, attack, system, stepping-stone, manner, method, gateway, idea, measure, way, guise, key, wise, quomodo, plan of attack, tack, machinery, process, avenue, modus, how, means, channel, gate, approach, agency, gamesmanship, mode, medium, sort
2	方面	方面	fāngmiàn	side, aspect, sector, part, light, facet, behalf, way, respect, direction, bearing, field, phase, sphere, angle, hand
2	方向	方向	fāngxiàng	path, set, directional, aspect, tenor, course, lay, exposure, way, range, aim, trend, direction, bearing, orientation, hand, tack, way of life, quarter, channel, line, heading
2	放下	放下	fàngxià	set_down, set down, lay/put down, lay, lower, lay_down, draw, lay down, dismount, put_down, plank, drop_away, deposit, digress, drop_off, depose, put down, place down
2	放心	放心	fàngxīn	disburden, set one's mind at rest, set one's mood at rest, be at ease, feel relieved, rest assured
2	分	分	fèn	m.[general]
2	分開	分开	fēnkāi	rive, uncouple, unyoke, divaricate, detach, disjoint, cleave, shift, break_up, cut, segregate, isolate, divorce, severalize, unclasp, divide, dissever, disjoin, break, come off, demarcate, fork, sever, sequester, disconnect, part, come away, sunder, break up, keep apart, separate, diverge, branch, set_off, ramify, split, sequestrate, untwine, separation, set apart, parcel
2	分數	分数	fēnshù	point, score, mark, grade, fraction, football score, numeric
2	分鐘	分钟	fēnzhōng	m.[standard]
2	份	份	fèn	m.[general]
2	封	封	fēng	m.[general]
2	服務	服务	fúwù	be in the service of, serve
2	複習	复习	fù xí	to review, revision, variant of 復習|复习[fu4 xi2]
2	該	该	gāi	det.: this, that
2	改	改	gǎi	alteration, rectification, transformation, change, correct, put ... right, transform, rectify, revision, switch over to, ameliorate, revise, put right, amend, correction, gybe, alter
2	改變	改变	gǎibiàn	change, transform
2	乾杯	干杯	gān bēi	to drink a toast, Cheers! (proposing a toast), Here's to you!, Bottoms up!, lit. dry cup
2	感到	感到	gǎndào	feel, sense
2	感動	感动	gǎndòng	be touched, be moved, affect, feel, stir, thrill, melt, magnetize, inspire, touch, reach, move
2	感覺	感觉	gǎnjué	sense perception, feeling
2	感謝	感谢	gǎnxiè	thank, be grateful
2	幹活兒	干活儿	gànhuór	to work, manual labor
2	剛	刚	gāng	exactly, only a short while ago, just now, barely, only just, just
2	剛纔	刚才	gāng cái	(just) a moment ago
2	剛剛	刚刚	gānggāng	just now, scarcely, fresh, only, exactly, a moment ago, hardly, but, just
2	高級	高级	gāojí	high-level, high-class, quality
2	高中	高中	gāozhōng	senior middle school, senior high school, senior_high_school
2	個子	个子	gèzi5	height, stature, build
2	更	更	gèng	more, still/even more, further, furthermore
2	公共汽車	公共汽车	gōng gòng qì chē	bus, CL:輛|辆[liang4],班[ban1]
2	公交車	公交车	gōng jiāo chē	public transport vehicle, town bus, CL:輛|辆[liang4]
2	公斤	公斤	gōngjīn	m.[standard]
2	公里	公里	gōnglǐ	m.[standard]
2	公路	公路	gōnglù	trunk road, calzada, route, main road, highroad, highway, road, thoroughfare, causeway, chaussee
2	公平	公平	gōngpíng	fair, just, impartial
2	公司	公司	gōngsī	place of business, business organization, incorporation, establishment, business concern, office, concern, business establishment, business, enterprise, company, corporation
2	公園	公园	gōngyuán	common, green, garden, commons, park
2	狗	狗	gǒu	dog
2	夠	够	gòu	be enough/sufficient/adequate
2	故事	故事	gùshì	spiel, recital, relation, scam, rede, plot, yarn, narration, story, fiction, tale, history, legend, narrative
2	故意	故意	gùyì	purposive, deliberate, willful, intentional
2	顧客	顾客	gùkè	chap, client, shopper, correspondent, constituency, patronage, trade, market, guest, clientele, newspaperman, newspaperwoman, newswriter, pressman, customer agent, customer, business
2	關機	关机	guān jī	to turn off (a machine or device), to finish shooting a film
2	關心	关心	guānxīn	be concerned about
2	觀點	观点	guāndiǎn	view, aspect, stand, point_of_view, light, eyes, framework, sentiment, bet, standpoint, point of view, eye, viewpoint, slant, perspective, position, angle
2	廣場	广场	guǎngchǎng	mews, agora, public square, concourse, carrefour, piazza, plaza, square, campus, place
2	廣告	广告	guǎnggào	advertisement
2	國際	国际	guójì	international
2	過來	过来	guòlái	come over/up, up, come over, come up, come_over, come here
2	過年	过年	guònián	celebrate/spend New Year
2	過去	过去	guòqù	go over, pass by
2	過	过	guò	[aspect]
2	海	海	hǎi	water, foam, bottom, main, huge group of people, Surname, sea catfish, the sea, sea, mare, drink, fishpond, briny, great capacity, Neptune, billow, huge group of things, depth, waters, pond, wave, brine, big lake
2	海邊	海边	hǎi biān	coast, seaside, seashore, beach
2	喊	喊	hǎn	cry out, yell
2	好	好	hǎo	good
2	好處	好处	hǎochù	pull, profit, advantage, stead, benefit, virtu, welfare, virtue, good, behoof, goodness, gain, pap, beauty, beaut
2	好多	好多	hǎoduō	det : many, much
2	好久	好久	hǎo jiǔ	quite a while
2	好人	好人	hǎorén	a healthy person, good person, goodman, sb. who tries to get along with everyone, bawcock, good, agreeable individual, good egg, a person who tries to get along with everyone (oft
2	好事	好事	hǎo shì, hào shì	good action, deed, thing or work (also sarcastic, 'a fine thing indeed'), charity, happy occasion, Daoist or Buddhist ceremony for the souls of the dead, to be meddlesome
2	好像	好像	hǎoxiàng	seem, be like
2	合適	合适	héshì	set, fit, accommodate, befit, suitable, right, appropriate, belong, beseem, becoming, suit
2	河	河	hé	watercourse, stream, Yellow River, fluvial, river, drink
2	黑	黑	hēi	black, dark, wicked, sinister, vicious, be greedy, extort
2	黑板	黑板	hēi bǎn	blackboard, CL:塊|块[kuai4],個|个[ge4]
2	黑色	黑色	hēisè	black
2	紅	红	hóng	in vogue, famous, redden, red, popular
2	紅色	红色	hóngsè	red color
2	後來	后来	hoù lái	afterwards, later
2	忽然	忽然	hūrán	suddenly
2	湖	湖	hú	water, waterfront, a name referring to the provinces of Hunan and Hub, lacustrine, loch, mere, lake, lough, Hunan and Hubei, laky
2	護照	护照	hùzhào	passport
2	花	花	huā	spend, expend, cost
2	花園	花园	huāyuán	flower garden
2	畫	画	huà	painting, pictures
2	畫家	画家	huàjiā	painterly, creative person, artist, painter, penman, artists
2	畫兒	画儿	huàr	picture, drawing, painting
2	壞處	坏处	huài chu	harm, troubles, CL:個|个[ge4]
2	壞人	坏人	huàirén	hellion, bad person, scoundrel, badman, baddie, villain, malefactor, evildoer
2	歡迎	欢迎	huānyíng	invite, greet, take in, receive, welcome, gratulate, embrace, salute
2	換	换	huàn	adjourn, barter, exchange, commute, reseat, trade, conversion, convert, change
2	黃	黄	huáng	Surname
2	黃色	黄色	huángsè	chrome, yellowness, yellow, salacity, or
2	回	回	huí	return, go back
2	回國	回国	huíguó	return to one's country
2	會	会	huì	to be able, can, will, to meet
2	活動	活动	huódòng	activity, maneuver, behavior
2	或	或	huò	conj.: or, either or
2	或者	或者	huòzhě	conj.: or, either...or...
2	機會	机会	jīhuì	scouth, occasion, good luck, hap, liberty, fortune, opportunity, chance, joss, hazard, happy chance, probability, luck, scope, room, break, turn, opening
2	雞	鸡	jī	capercailzie, Gallus gallus, giblets, chook, horse of the wood, capercaillie, gallinaceous, Tetrao urogallus, sultan, chicken
2	級	级	jí	level, rank, grade
2	急	急	jí	rapid, fast, violent
2	計劃	计划	jìhuà	plan, project, program
2	計算機	计算机	jì suàn jī	computer, (Tw) calculator, CL:臺|台[tai2]
2	加	加	jiā	dramatise, plant, embroider, intercalate, lard, put in, blow up, inflict, deliver, aggrandize, plus, dramatize, increase, augment, embellish, augmentation, confer, append, add, pad, summate
2	加油	加油	jiāyóu	gas, lubricate, oil, refuel, gas up, embolden, accelerate, lubrication, fuel, cheer, recreate, hearten, make an extra effort
2	家	家	jiā	family, household, home, house
2	家庭	家庭	jiātíng	hearthstone, background, fireside, establishment, household, hearth, domestic, hearthside, menage, home, family unit, family, house
2	家長	家长	jiāzhǎng	masterman, housemaster, graybeard, patriarch, parent of schoolchildren, patriarchal, goodman, patriarchate, paterfamilias, the head of a family, genearch, patriarchy, householder, head of household, the parent or guadian of a child
2	假	假	jiǎ	false, fake, phony, artificial
2	假期	假期	jiàqí	season, holiday, leave, period of leave, vacation
2	檢查	检查	jiǎnchá	check, inspect, examine
2	見到	见到	jiàndào	see, meet, perceive
2	見過	见过	jiànguò	See
2	件	件	jiàn	correspondence, paper, document, bit, m.[general], , single item, letter, piece
2	健康	健康	jiànkāng	healthy, sound
2	講	讲	jiǎng	discourse, utter, talk, negotiation, make clear, negotiate, parley, pay attention to, speak, syllable, discuss, explain, tell, be particular about, explanation, interpretation, interpret, relate, discussion, stress, mouth, say, remark, verbalize
2	講話	讲话	jiǎnghuà	parley, jaw, turn to, address, talk, speak, say, speak to
2	交	交	jiāo	associate with, make friends, fall in with, mate
2	交給	交给	jiāogěi	relinquish, give_away, submit, give to, hand/give to, hand to, give_up, reach, hand
2	交朋友	交朋友	jiāo péng you	to make friends, (dialect) to start an affair with sb
2	交通	交通	jiāotōng	intercourse, commutation, transportation, communication, commuting, traffic, traffic_light, liaison man, communications, dealings, liaison
2	角	角	jiǎo	horn, bugle, sth. horn-shaped
2	角度	角度	jiǎodù	aspect, perspective, degree, arcdegree, point of view, angle
2	餃子	饺子	jiǎo zi	dumpling, pot-sticker, CL:個|个[ge4],隻|只[zhi1]
2	腳	脚	jiǎo	foot, leg, base
2	叫作	叫作	jiào zuò	to call, to be called
2	教師	教师	jiàoshī	beak, don, school teacher, schoolman, teacher, schoolmaster, preceptor, professor, pedagogue, schoolteacher, coach, master, instructor, educator, preceptorship
2	教室	教室	jiàoshì	classroom, schoolroom
2	教學	教学	jiāoxué	teach and study
2	教育	教育	jiàoyū	education
2	接	接	jiē	to receive, to answer (the phone), to meet or welcome sb, to connect, to catch, to join, to extend, to take one's turn on duty, to take over for sb
2	接到	接到	jiēdào	welcome, receive, meet
2	接受	接受	jiēshòu	receive (honors, have, receive, acknowledge, sweep up, espouse, etc.), come to grips, adopt, embrace, greet, welcome, hook on, seize on, take up, accede, taken, entertain, latch on, buy, fasten on, swallow, imbibe, accept, receive (honors/etc.), undergo, get to grips, take, adapt, acceptance, thole
2	接下來	接下来	jiēxiàlái	next, immediately after
2	接著	接着	jiēzhe	next, immediately after
2	街	街	jiē	county fair, fair, place, market, toby, street
2	節	节	jié	m.[event]
2	節目	节目	jiémù	item, item (on program), programme, act, telecast, number, program
2	節日	节日	jiérì	festival, holiday
2	結果	结果	jiéguǒ	result, outcome, consequence
2	借	借	jiè	lend
2	斤	斤	jīn	m.[standard]
2	今後	今后	jīn hoù	hereafter, henceforth, in the future, from now on
2	進入	进入	jìnrù	go_into, get_in, debouch, get in, go into, move into, come_into, pass, step_in, lapse, get_into, set in, go in, get into, kick in, penetrate, intromission, pierce, come_in, come in, enter, entry, sink, impenetrate
2	進行	进行	jìnxíng	be in progress, go on, carry on/out
2	近	近	jìn	almost
2	經常	经常	jīngcháng	everyday, daily, alway, often, a great deal, frequently, sempre, much, regularly, constantly, evermore, day-to-day
2	經過	经过	jīngguò	pass, go through, undergo
2	經理	经理	jīnglǐ	amaldar, intendant, manager, steward, executive, managing director, exec, director, skipper, syndic, executive director
2	酒	酒	jiǔ	libation, bracer, plonk, wine, tipple, poison, pottle, spirits, creature, vin, cup, drink, hooch, arrack, medicine, alcohol, bottle, hootch, alcoholic drink, rum, bibble, potation, belly-wash, alcoholic beverage, Bacchus, booze, liquor, juice, fortifier, inebriant, lotion, intoxicant
2	酒店	酒店	jiǔdiàn	wineshop, public house
2	就要	就要	jiù yào	will, shall, to be going to
2	舉	举	jǔ	lift, raise, hold up, cite, propose
2	舉手	举手	jǔshǒu	raise one's hand, haul_off, raise one's hand(s), show, put up one's hand
2	舉行	举行	jǔxíng	hold (meeting/etc.)
2	句	句	jù	sentence, m.[general],
2	句子	句子	jùzi	sentence
2	卡	卡	kǎ, qiǎ	to stop, to block, card, CL:張|张[zhang1],片[pian4], calorie, cassette, (computing) (coll.) slow, to block, to be stuck, to be wedged, customs station, a clip, a fastener, a checkpost, Taiwan pr. [ka3]
2	開機	开机	kāi jī	to start an engine, to boot up (a computer), to press Ctrl-Alt-Delete, to begin shooting a film or TV show
2	開心	开心	kāixīn	feel happy, rejoice
2	開學	开学	kāixué	start school, begin term
2	看法	看法	kànfǎ	side, view, mentality, idea, outlook, a way of looking at a thing, opinion, thought, sight, standpoint, hypothesis, attitude, hobbyhorse, viewpoint, possibility, theory, slant, pronouncement, way of looking at sth., thinking, supposition, supposal
2	考生	考生	kǎoshēng	candidate for an entrance examination, examinee
2	靠	靠	kào	depend/rely on
2	科	科	kē	department, section, rules, laws, a branch of academic or vocational study, stage directions, (animal) family, a division or subdivision of an administrative uni, family, branch of study, faculty, administrative section
2	科學	科学	kēxué	ology, scientific, science, scientific knowledge
2	可愛	可爱	kěài	lovable, likeable, lovely
2	可能	可能	kěnéng	probably, maybe
2	可怕	可怕	kěpà	fearful, terrible
2	可是	可是	kěshì	conj.: but, yet, however
2	可以	可以	kěyǐ	can, may
2	尅	克	kè, kēi	to be able to, to subdue, to restrain, to overcome, gram, variant of 剋|克[ke4], Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God, to scold, to beat
2	刻	刻	kè	m.[standard]
2	客人	客人	kèrén	stranger, guest, caller, client, visitant, invitee, company, visitor
2	課堂	课堂	kè táng	classroom, CL:間|间[jian1]
2	空氣	空气	kōngqì	air, airspace, atmosphere, aerial, deflector, atmospherics
2	哭	哭	kū	greet, cry, weep
2	快餐	快餐	kuài cān	fast food, snack, quick meal
2	快點兒	快点儿	kuàidiǎnr	to do sth more quickly, erhua variant of 快點|快点[kuai4 dian3]
2	快樂	快乐	kuàilè	happy, cheerful
2	快要	快要	kuài yào	almost, nearly, almost all
2	筷子	筷子	kuài zi	chopsticks, CL:對|对[dui4],根[gen1],把[ba3],雙|双[shuang1]
2	拉	拉	lā	slit, press-gang, help, solicit, lend a helping hand, canvass, draw, zoom, transport by vehicle, pull, release, press, cut, schlep, play (bowed instruments), tote, tug, gash, tow, bend, snake, schlepp, move (troops), solicitation, haul, chat, solicit (business), give a helping hand, drag out, force, play, slash, drum_up, claw, implicate, overstretch, empty the bowels, drag, trail, drag
2	來自	来自	láizì	come from, originate from, come, stem/originate from, attach_to, stem, come/stem/originate from, hail
2	藍	蓝	lán	blue
2	藍色	蓝色	lánsè	blue, blue (color), blueness
2	籃球	篮球	lánqiú	basketball
2	老	老	lǎo	old, aged;of long standing, outdated, tough, overgrown, dark (of colors)
2	老年	老年	lǎonián	senescence, caducity, senility, old_age, agedness, hoariness, age, old age
2	老朋友	老朋友	lǎo péng you	old friend, (slang) period, menstruation
2	老是	老是	lǎoshì	always
2	離	离	lí	distant/apart from
2	離開	离开	líkāi	leave, depart/deviate from
2	禮物	礼物	lǐwù	tribute, giving, proffer, gift, compliment, box, benefice, acknowledgment, present, souvenir
2	裡頭	里头	lǐtóu	inside, interior
2	理想	理想	lǐxiǎng	ideal,
2	例如	例如	lìrú	for instance/example, e.g., such as
2	例子	例子	lìzi	exemplification, example, representative, illustration, instance, piece, case
2	臉	脸	liǎn	map, mug, kisser, puss, visage, snoot, frontispiece, pan, smiler, mazzard, mush, facial, countenance, phiz, figurehead, face, physiognomy, front, human face
2	練	练	liàn	practice, exercise, boil and scour raw silk, educate, reeducate, nurture, coach, hone, drill, school, lunge, break, breed, train
2	練習	练习	liànxí	practice, exercise
2	涼	凉	liáng	cool, cold, discouraged, disappointed
2	涼快	凉快	liáng kuai	nice and cold, pleasantly cool
2	兩	两	liǎng	det.: two, both (sides), either (side), a few, some
2	亮	亮	liàng	bright, light, loud and clear
2	輛	辆	liàng	m.[general]
2	零下	零下	líng xià	below zero
2	留	留	liú	continue, stay, keep, leave behind, leave, grow, accept, (let) grow, leave (sth.), let grow, ask ... to stay, take, bide, wear, study in a foreign country, save, reserve, reservation, ask sb. to stay, remain
2	留下	留下	liúxià	stay, leave behind, leave, allocate, devote, entail, stick, stay behind, leave_behind, stay put, stick around, remain
2	留學生	留学生	liúxuéshēng	student studying abroad, returned student
2	流	流	liú	spread, circulate
2	流利	流利	liú lì	fluent
2	流行	流行	liúxíng	prevalent, popular, fashionable, in vogue, spread, rage (of contagious disease)
2	路邊	路边	lù biān	curb, roadside, wayside
2	旅客	旅客	lǔkè	journeyer, guest, hotel guest, traveler, traffic, wayfarer, viator, rider, traveller, passer, passenger
